order_id,date,country,category,customer_name,sales_manager,sales_rep,device_type,order_value_eur,cost,profit_eur,profit_margin
70-0511466,2020-08-23,Sweden,Games,Konopelski LLC,Maxie Marrow,Tarrah Castelletti,Tablet,98320.37,77722.25,20598.119999999995,0.20950002527451836
77-3489084,2020-05-15,France,Games,Wisoky Inc,Othello Bowes,Amelina Piscopiello,Tablet,46296.26,40319.41,5976.8499999999985,0.12910006121444795
65-8218141,,Portugal,Appliances,Hegmann Group,Celine Tumasian,Corene Shirer,PC,140337.34,115708.14,24629.199999999997,0.17549997741157128
29-5478106,2019-06-26,France,Electronics,Kirlin and Sons,Othello Bowes,Crysta Halls,Mobile,203604.46,175344.16,28260.29999999999,0.1388000046757325
57-6602854,2019-09-24,Italy,Clothing,Labadie and Sons,Piggy Roscrigg,Joshua Prevost,PC,127075.41,110924.13,16151.279999999999,0.12709996371445897
78-3301264,2020-01-25,Sweden,Clothing,Romaguera-Dietrich,Maxie Marrow,Alyosha Meah,PC,69681.43,55529.13,14152.299999999996,0.2031000224880574
32-3124563,2019-06-21,France,Appliances,Connelly-Mohr,Othello Bowes,Avrit Chanders,PC,96795.99,81395.75,15400.240000000005,0.15909997924500802
92-7042708,2019-01-15,Portugal,Smartphones,Wisoky Inc,Celine Tumasian,Aurelie Wren,PC,144725.34,115056.65,29668.690000000002,0.20499996752469196
15-2994585,2020-11-28,Germany,Accessories,Johns and Sons,Rickard Doogood,Casie MacBain,Mobile,32695.37,26375.35,6320.02,0.19330015228455896
48-0713329,,Portugal,Electronics,"Jacobson, Marvin and Brown",Celine Tumasian,Aurelie Wren,Tablet,121318.55,102890.26,18428.290000000008,0.1519000185874296
16-0987104,2020-10-31,Portugal,Clothing,"Fisher, Morar and Skiles",Celine Tumasian,Hortense Gerring,PC,147092.62,117806.48,29286.14,0.19909999563540307
91-8142232,2019-06-26,Portugal,Accessories,Johns and Sons,Celine Tumasian,Hortense Gerring,PC,187874.45,160031.46,27842.99000000002,0.14819998142376475
85-9787047,2019-07-27,Luxembourg,Smartphones,O'Connell-Mitchell,Ilsa Kob,Jocelyn Laurentino,Tablet,256603.66,209799.15,46804.51000000001,0.18240000941529833
06-2196763,2019-06-15,Sweden,Electronics,"Hamill, Kulas and Roob",Maxie Marrow,Madelon Bront,PC,69626.39,57295.56,12330.830000000002,0.17709994730446318
51-9029547,2020-01-28,Portugal,Games,Friesen-Rath,Celine Tumasian,Corene Shirer,PC,153029.72,125117.1,27912.619999999995,0.18239999393581846
74-1131921,,France,Beauty,Friesen and Sons,Othello Bowes,Maighdiln Upcraft,PC,65193.88,53113.45,12080.43,0.18530006190765147
26-9787272,,Sweden,Clothing,Kihn Inc,Maxie Marrow,Anita Woakes,PC,15817.05,13743.44,2073.6099999999988,0.13109966776358417
15-6838362,2020-05-29,France,Games,"Lueilwitz, Kerluke and Lesch",Othello Bowes,Avrit Chanders,PC,54079.04,45031.62,9047.419999999998,0.16729993727699305
31-6585710,2020-08-24,Portugal,Appliances,Labadie and Sons,Celine Tumasian,Aurelie Wren,PC,168757.23,136895.86,31861.370000000024,0.18880002948614422
38-0584273,2019-01-19,Portugal,Beauty,"Shanahan, Schaden and Parker",Celine Tumasian,Brynn Dempster,Mobile,101923.36,86115.05,15808.309999999998,0.15509996923178354
27-4115444,2019-11-18,France,Beauty,Wiza and Sons,Othello Bowes,Crysta Halls,PC,89160.66,75367.51,13793.150000000009,0.15469995399316255
70-8991739,,UK,Books,"Dickinson, Hyatt and Berge",Jessamine Apark,Jay Morefield,Mobile,77128.75,65536.3,11592.449999999997,0.15029998541399928
27-3437546,2019-10-22,UK,Games,Schoen-Keeling,Jessamine Apark,Genevra Charrisson,PC,63979.04,56032.84,7946.200000000004,0.12420005051654423
48-6452102,2019-03-18,Sweden,Appliances,Franecki-White,Maxie Marrow,Anita Woakes,Mobile,83897.88,69559.73,14338.150000000009,0.17090002750963443
58-2028009,2019-09-19,Portugal,Clothing,Altenwerth-Konopelski,Celine Tumasian,Brynn Dempster,Mobile,121928.48,98408.48,23520.0,0.19289996889980093
52-0695511,2020-01-31,Sweden,Other,"Fisher, Morar and Skiles",Maxie Marrow,Alyosha Meah,PC,149376.26,123653.67,25722.59000000001,0.1721999867984378
30-3460885,2020-05-24,Portugal,Appliances,"Hamill, Kulas and Roob",Celine Tumasian,Corene Shirer,PC,138127.81,115240.03,22887.78,0.16570001363230186
11-2653878,2020-07-20,Portugal,Electronics,"Spencer, Rogahn and Muller",Celine Tumasian,Corene Shirer,PC,206869.73,180928.27,25941.46000000002,0.12539997997773777
65-0792739,,UK,Clothing,Wiza and Sons,Jessamine Apark,Winny Agnolo,PC,122627.2,100284.52,22342.679999999993,0.1822000339239581
62-4331197,2020-01-13,Portugal,Clothing,Hessel-Stiedemann,Celine Tumasian,Corene Shirer,PC,92698.45,73454.25,19244.199999999997,0.20760001920204704
00-1398218,2019-09-25,France,Books,Johns and Sons,Othello Bowes,Avrit Chanders,Mobile,173456.4,149866.33,23590.070000000007,0.13599999769394502
34-1570975,2020-01-19,Sweden,Electronics,"Zieme, Bailey and Herzog",Maxie Marrow,Caro Morfield,PC,94085.5,77498.23,16587.270000000004,0.1762999612054993
99-0862667,,France,Other,Friesen-Rath,Othello Bowes,Crysta Halls,PC,60068.71,47688.55,12380.159999999996,0.20609998117156164
21-7461655,,Germany,Clothing,Morissette Group,Rickard Doogood,Casie MacBain,PC,58416.81,46745.13,11671.68,0.19980002331520672
94-1762263,,Sweden,Electronics,"Hamill, Kulas and Roob",Maxie Marrow,Madelon Bront,Mobile,239423.57,199152.52,40271.05000000002,0.16820002308043447
16-6855831,2019-09-28,UK,Games,Johns and Sons,Jessamine Apark,Jay Morefield,PC,53801.73,46785.98,7015.75,0.13040008193045094
86-6107692,,Germany,Games,"Jacobson, Marvin and Brown",Rickard Doogood,Casie MacBain,PC,180519.86,145968.36,34551.5,0.19139999333037375
80-2242820,2019-05-17,Portugal,Electronics,Johns and Sons,Celine Tumasian,Aurelie Wren,PC,100469.75,82566.04,17903.710000000006,0.1782000054742846
21-4033151,2020-06-21,France,Clothing,Johns and Sons,Othello Bowes,Amelina Piscopiello,PC,128221.13,102217.88,26003.25,0.2028000377160925
32-3534634,2019-07-20,UK,Accessories,Wisoky Inc,Jessamine Apark,Winny Agnolo,PC,164971.7,132686.74,32284.96000000002,0.19569998975581884
88-8436664,2020-03-30,Germany,Electronics,"Fisher, Morar and Skiles",Rickard Doogood,Casie MacBain,PC,92868.37,79068.13,13800.23999999999,0.1486000023474084
06-5566367,,Bulgaria,Smartphones,Friesen and Sons,Charil Alpe,Bernadine Fullagar,PC,145439.65,123710.97,21728.679999999993,0.1493999744911377
89-5350599,2020-07-14,UK,Clothing,Armstrong-Little,Jessamine Apark,Winny Agnolo,PC,151632.33,120744.82,30887.50999999998,0.20370002887906546
37-0756560,2020-09-23,Portugal,Clothing,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,PC,159514.03,138872.91,20641.119999999995,0.12940002832352737
51-4531731,2020-02-15,Finland,Electronics,Johns and Sons,Hube Corey,Mellicent Mattys,Tablet,106115.85,93063.6,13052.25,0.1230000042406483
39-3209780,,Germany,Books,Tillman and Sons,Rickard Doogood,Casie MacBain,PC,86704.08,75380.53,11323.550000000003,0.13059996715264152
65-2022928,2019-04-19,Finland,Accessories,"Swaniawski, Runolfsson and Green",Hube Corey,Mellicent Mattys,PC,48946.74,38765.82,10180.919999999998,0.2079999607736899
08-7576451,,Sweden,Books,Tillman and Sons,Maxie Marrow,Anita Woakes,PC,54078.92,46102.28,7976.639999999999,0.14749998705595452
57-2968987,2019-03-19,Italy,Games,Hessel-Stiedemann,Piggy Roscrigg,Joshua Prevost,PC,26899.97,23198.53,3701.4400000000023,0.1376001534574203
60-8646184,2020-07-24,France,Games,McGlynn-Bergstrom,Othello Bowes,Crysta Halls,PC,149500.61,125401.11,24099.499999999985,0.16120001115714502
32-3418936,,France,Beauty,"Hamill, Kulas and Roob",Othello Bowes,Crysta Halls,PC,127946.33,111850.68,16095.650000000009,0.1258000131774003
84-1343954,2019-02-19,Portugal,Books,Friesen-Rath,Celine Tumasian,Corene Shirer,PC,61994.02,54250.97,7743.049999999996,0.12489995002743806
06-9596696,2019-10-27,Spain,Clothing,"Bashirian, Okuneva and Bechtelar",Emalia Dinse,Perri Aldersley,PC,39110.97,34315.97,4795.0,0.12259987415295504
14-6700183,,Portugal,Beauty,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,PC,74532.02,59752.32,14779.700000000004,0.1983000058230007
04-7976277,2019-02-22,France,Accessories,"Rowe, Hermiston and Kessler",Othello Bowes,Crysta Halls,PC,60592.4,52363.95,8228.450000000004,0.13580003432773755
86-2962836,2020-08-21,Ireland,Books,Tillman and Sons,Glenine Suttaby,Palm Wetherald,Mobile,81358.58,68918.85,12439.729999999996,0.15290003832416932
